name,shortName,gps,version,catalog,doi,detail_url,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW250120_042414,GW250120_042414-v1,1421382272.1,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW250120_042414-v1,,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,1.6,,,0.89,,,,,
GW250119_190238,GW250119_190238-v1,1421348576.3,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW250119_190238-v1,11.54,-0.81,1.95,9.95,-1.56,0.77,21.3,,,311.0,-68.0,289.0,0.09,-0.03,0.05,21.64,-1.03,0.55,9.38,-0.48,0.14,,,,0.07,-0.01,0.06,1e-05,,,0.99,,,20.56,-0.97,0.57
GW250119_025138,GW250119_025138-v1,1421290316.8,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW250119_025138-v1,33.8,-4.8,6.3,26.7,-6.3,5.6,14.5,,,3100.0,-1300.0,1100.0,0.06,-0.18,0.18,59.9,-5.4,8.8,25.7,-2.5,4.0,,,,0.52,-0.19,0.15,1e-05,,,0.99,,,57.1,-5.0,8.2
GW250118_170523,GW250118_170523-v1,1421255141.2,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW250118_170523-v1,38.1,-5.6,8.1,29.6,-6.3,5.4,13.9,,,1910.0,-740.0,800.0,0.12,-0.19,0.18,67.8,-6.7,7.9,29.0,-2.9,3.5,,,,0.35,-0.12,0.12,1e-05,,,0.99,,,64.4,-6.2,7.3
GW250118_055802,GW250118_055802-v1,1421215100.5,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW250118_055802-v1,10.3,-1.8,7.5,6.9,-2.6,1.5,10.5,,,940.0,-380.0,630.0,0.11,-0.09,0.24,17.5,-1.6,4.7,7.36,-0.63,0.45,,,,0.19,-0.07,0.11,0.0089,,,0.99,,,16.6,-1.5,4.9
GW250118_023225,GW250118_023225-v1,1421202763.9,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW250118_023225-v1,44.0,-10.0,15.0,31.0,-11.0,11.0,9.0,,,5800.0,-2900.0,3800.0,0.04,-0.31,0.28,74.0,-13.0,20.0,31.1,-6.0,8.9,,,,0.88,-0.39,0.45,0.0035,,,0.99,,,71.0,-13.0,19.0
GW250116_051426,GW250116_051426-v1,1421039685.0,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW250116_051426-v1,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,4.8,,,0.63,,,,,
GW250116_015318,GW250116_015318-v1,1421027616.4,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW250116_015318-v1,34.2,-9.3,14.5,21.3,-8.3,8.8,8.0,,,5200.0,-2500.0,3900.0,0.15,-0.33,0.31,56.0,-11.0,16.0,23.0,-5.0,6.9,,,,0.8,-0.33,0.47,0.12,,,0.99,,,53.0,-11.0,15.0
GW250114_082203,GW250114_082203-v2,1420878141.2,2,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW250114_082203-v2,33.76,-0.9,1.28,32.26,-1.47,0.95,78.6,,,405.0,-73.0,84.0,-0.03,-0.05,0.04,66.0,-1.2,1.1,28.71,-0.51,0.5,,,,0.09,-0.01,0.02,1e-05,,,0.99,,,62.9,-1.1,1.0
GW250109_083206,GW250109_083206-v1,1420446744.3,1,GWTC-5.0,https://doi.org/10.7935/bk00-6a89,https://gwosc.org/api/v2/event-versions/GW250109_083206-v1,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,1.4,,,0.99,,,,,
