   Frequency       O5aStrain        O5bStrain       O5cStrain
   4.0707900e+00   2.1064330e-19   1.0532175e-19   4.2129534e-20
   4.0745500e+00   2.1401500e-19   1.0700760e-19   4.2803857e-20
   4.0783100e+00   2.1739204e-19   1.0869612e-19   4.3479248e-20
   4.0820800e+00   2.2076902e-19   1.1038461e-19   4.4154628e-20
   4.0858500e+00   2.2415030e-19   1.1207524e-19   4.4830868e-20
   4.0896200e+00   2.2753365e-19   1.1376692e-19   4.5507524e-20
   4.0934000e+00   2.3092018e-19   1.1546018e-19   4.6184814e-20
   4.0971800e+00   2.3431091e-19   1.1715554e-19   4.6862946e-20
   4.1009700e+00   2.3770389e-19   1.1885203e-19   4.7541529e-20
   4.1047500e+00   2.4110405e-19   1.2055211e-19   4.8221548e-20
   4.1085500e+00   2.4450434e-19   1.2225226e-19   4.8901593e-20
   4.1123400e+00   2.4790686e-19   1.2395351e-19   4.9582084e-20
   4.1161400e+00   2.5131349e-19   1.2565683e-19   5.0263398e-20
   4.1199400e+00   2.5492377e-19   1.2746196e-19   5.0985441e-20
   4.1237500e+00   2.5882521e-19   1.2941269e-19   5.1765717e-20
   4.1275600e+00   2.6302371e-19   1.3151193e-19   5.2605402e-20
   4.1313700e+00   2.6751811e-19   1.3375913e-19   5.3504270e-20
   4.1351800e+00   2.7230198e-19   1.3615106e-19   5.4461029e-20
   4.1390000e+00   2.7719502e-19   1.3859758e-19   5.5439624e-20
   4.1428300e+00   2.8209183e-19   1.4104599e-19   5.6418974e-20
   4.1466500e+00   2.8699401e-19   1.4349708e-19   5.7399397e-20
   4.1504800e+00   2.9189864e-19   1.4594939e-19   5.8380310e-20
   4.1543200e+00   2.9680916e-19   1.4840465e-19   5.9362403e-20
   4.1581600e+00   3.0172490e-19   1.5086252e-19   6.0345540e-20
   4.1620000e+00   3.0664458e-19   1.5332235e-19   6.1329464e-20
   4.1658400e+00   3.1157122e-19   1.5578567e-19   6.2314781e-20
   4.1696900e+00   3.1650006e-19   1.5825009e-19   6.3300539e-20
   4.1735400e+00   3.2143354e-19   1.6071683e-19   6.4287226e-20
   4.1773900e+00   3.2637229e-19   1.6318620e-19   6.5274964e-20
   4.1812500e+00   3.3132083e-19   1.6566047e-19   6.6264663e-20
   4.1851200e+00   3.3626822e-19   1.6813417e-19   6.7254132e-20
   4.1889800e+00   3.4122073e-19   1.7061042e-19   6.8244625e-20
   4.1928500e+00   3.4617727e-19   1.7308869e-19   6.9235926e-20
   4.1967200e+00   3.5113137e-19   1.7556574e-19   7.0226737e-20
   4.2006000e+00   3.5609717e-19   1.7804864e-19   7.1219888e-20
   4.2044800e+00   3.6106750e-19   1.8053380e-19   7.2213946e-20
   4.2083600e+00   3.6604310e-19   1.8302160e-19   7.3209059e-20
   4.2122500e+00   3.7102079e-19   1.8551044e-19   7.4204588e-20
   4.2161400e+00   3.7600511e-19   1.8800260e-19   7.5201446e-20
   4.2200400e+00   3.8099457e-19   1.9049734e-19   7.6199331e-20
   4.2239300e+00   3.8598825e-19   1.9299417e-19   7.7198060e-20
   4.2278400e+00   3.9098663e-19   1.9549336e-19   7.8197729e-20
   4.2317400e+00   3.9598956e-19   1.9799483e-19   7.9198309e-20
   4.2356500e+00   4.0099713e-19   2.0049861e-19   8.0199816e-20
   4.2395600e+00   4.0600990e-19   2.0300499e-19   8.1202364e-20
   4.2434800e+00   4.1103899e-19   2.0551954e-19   8.2208176e-20
   4.2474000e+00   4.1610881e-19   2.0805445e-19   8.3222133e-20
   4.2513200e+00   4.2121838e-19   2.1060923e-19   8.4244042e-20
   4.2552500e+00   4.2636839e-19   2.1318424e-19   8.5274038e-20
   4.2591800e+00   4.3155897e-19   2.1577953e-19   8.6312149e-20
   4.2631100e+00   4.3677794e-19   2.1838901e-19   8.7355936e-20
   4.2670500e+00   4.4200173e-19   2.2100091e-19   8.8400690e-20
