simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	4.2620217	0.6847603	1.3204223	332.39895	10.483115	9.0746579	0.00080121883	0.26317235
1	4.16646	0.1384404	2.1691204	1012.6975	41.761345	40.646826	0.010328374	0.15138042
2	2.0473784	0.34121813	2.3151222	2113.2298	11.613567	10.519646	-0.0052651245	0.0027856859
3	5.6018954	-1.1613052	1.6899994	1071.7128	24.634938	15.690941	0.038562958	0.12725668
4	1.4714451	-0.6398126	1.6305539	761.81266	16.006386	10.284198	-0.0043930732	0.094284687
5	1.9202558	0.36210267	0.76627363	3323.5079	53.401192	52.293336	0.073573264	0.2276256
6	2.3650673	-0.8619666	2.1812584	657.28301	11.306469	9.2031877	0.34177992	0.0043677111
7	5.2306863	0.17499876	2.3534463	2140.5586	97.926596	48.909772	0.087903662	0.015781669
8	6.1275014	0.8693476	1.8171581	565.50373	8.9317406	1.8442289	0.26025715	0.0039670261
9	4.9078645	-0.27543558	1.9063025	1706.5865	84.513272	45.651776	0.21048756	0.019712421
10	5.1249645	-0.77774614	2.5698231	4928.4635	46.670015	29.073202	-0.01302791	-0.025048122
11	3.3870832	0.83179312	0.58871141	1315.0714	12.107254	9.8767085	0.016201468	-0.038259013
12	5.9947987	0.58448203	2.421729	1046.8954	21.667095	2.5970969	0.033014809	-0.077887453
13	3.70423	0.69447503	0.19379682	1889.3768	42.663578	29.488064	0.037515191	-0.088100291
14	3.7971859	0.87535684	0.38678959	158.44363	29.254971	1.4870773	0.10605007	0.095806078
15	0.66888419	0.72449942	0.41072353	978.13108	10.796274	2.1891764	-0.0083928335	0.0059628991
16	6.1280585	-0.5691877	0.23365737	4695.9729	74.556845	69.477744	0.052572812	0.05803096
17	3.7392392	-0.21207263	1.1334813	1036.3013	22.625625	11.201338	0.050476614	0.013443353
18	5.3577668	-0.62833181	2.7909815	4491.29	56.905371	32.770986	0.032973894	-0.086119893
19	1.277467	0.27687017	0.54791956	1114.7733	10.648669	9.7419935	-0.031680928	0.012898351
20	5.02435	-1.3291572	0.50467617	1468.5962	12.175327	12.002065	0.074533677	0.001091857
21	4.4653021	-0.077385241	0.72186005	5116.6653	109.78088	98.038365	0.060606936	0.11493553
22	2.4513505	-0.22354046	0.33238289	746.93079	7.4713465	1.8607426	0.46588559	-0.045702859
23	4.5625499	-0.0033924737	0.32873468	964.94609	38.984723	26.590566	0.12360189	-0.0025739413
24	4.8019913	-1.2053481	0.85885508	5745.8185	61.014352	54.536017	0.0019968496	-0.087078245
25	1.446385	0.48462754	0.90684716	2201.7507	44.556291	31.301363	0.02041686	-0.0048403211
26	0.17145007	0.40632663	0.63911067	530.87331	8.9134241	1.5775123	-0.29898814	0.039454837
27	5.6884721	0.11746066	2.4076972	1141.0926	41.827941	35.345459	0.010499686	-0.20261268
28	2.986839	-0.89209796	1.8635908	1337.3149	44.336	27.372861	-0.29529435	-0.020579305
29	4.5274938	-0.31407747	0.49975332	2344.6261	11.091765	5.7650052	-0.36450227	-0.0087281191
30	5.8845313	-0.62850955	0.82015032	161.30351	1.655961	1.4510362	0.0042768144	0.080224883
31	2.8135691	0.5885328	0.63436937	2343.6649	36.689609	13.940007	0.11658618	-0.085631567
32	0.96535827	1.405876	2.6485628	267.31783	8.1019711	7.6679082	-0.0180451	0.16123343
33	1.5321768	1.121273	1.5917636	1666.2357	35.033201	28.879215	0.0075552211	0.020334337
34	4.54641	0.2090363	1.2068097	2371.1467	46.568363	40.57478	-0.010892578	0.13200268
35	5.9676174	0.60324529	0.50822698	1335.3953	12.434797	8.991713	0.1230099	0.074968651
36	2.7534096	-0.54364461	1.0069017	2700.4384	48.323252	40.226398	0.24653668	0.068639181
37	3.3950243	-0.33706707	2.3010108	291.64302	2.9933189	1.4054389	0.20923589	-0.0074675106
38	2.4084685	0.086911397	0.26154381	569.1875	8.5728464	7.8880664	0.083276578	0.020198748
39	4.2250215	-0.29453394	0.33655999	8118.4641	153.80284	92.537079	0.028386062	0.15916398
40	0.59251636	-1.2848864	0.045897956	2443.7663	44.305366	28.213219	-0.005771393	0.039054571
41	0.096313154	-0.5208058	0.67685908	955.29695	11.16858	10.740874	0.25155993	-0.0014912997
42	0.78005649	1.0052041	0.67907597	2262.0679	12.136557	12.059285	0.036523182	-0.0042232407
43	3.9061311	0.6786978	2.7643916	5674.4972	63.843039	48.169981	0.3279451	0.012892547
44	2.8853676	-0.74930177	0.80404901	8595.386	172.27167	77.234368	0.0034911581	-0.054636574
45	5.575625	0.60180714	2.2818349	1871.8015	10.591493	10.567191	0.089881025	0.10768353
46	3.6029505	-0.86447741	2.8300176	1432.2417	12.146615	2.3770364	-0.14301788	-0.0043399037
47	0.72211878	1.0366661	0.8220396	5499.6227	63.983625	39.135986	-0.0023127774	0.24373431
48	1.2937638	0.85417064	2.5954271	3047.9687	48.296062	40.59958	-0.091699882	-0.16477007
49	1.6187509	-1.2082629	2.241285	648.70115	15.918375	5.5915534	0.024379148	0.096629564
50	2.2987218	-0.66782778	2.2454705	882.61038	13.128914	10.885258	-0.044384971	-0.4342195
51	0.71179619	-0.57124169	0.43502244	2026.5864	10.252064	7.1780028	0.03233895	0.18349549
52	1.0680127	0.41541339	2.4063556	4797.681	69.827014	63.308603	0.17651622	-0.0733373
53	3.3135728	0.72209747	2.3516611	1526.8327	11.997277	11.799292	0.12251345	-0.043402255
54	4.2690116	-0.061137693	2.7058954	269.42772	2.182162	1.3915589	-0.068748995	0.018145183
55	4.9260559	0.77806619	2.7293805	1358.5308	33.91893	32.407851	-0.21561496	0.12802247
56	1.7022106	-0.20934102	0.7571508	4021.3172	51.637087	29.652449	0.19143358	0.072743791
57	0.1322557	0.47360286	2.0492857	1945.5447	46.772644	36.272726	0.034669021	-0.3064073
58	1.7616645	-0.23895613	2.7726104	675.33094	5.2138527	2.4537091	-0.019157785	0.023161339
59	1.786631	0.68409147	0.40715415	1275.9568	22.084129	11.289327	0.015817692	0.049029435
60	4.8641515	-1.1185281	0.66906745	1314.3446	71.129043	41.944144	0.0054773518	-0.082924619
61	3.8774262	0.005712595	0.6649997	1717.9937	15.248269	14.953832	0.1023262	0.08845249
62	4.2703887	0.87247801	2.2879091	1643.8886	13.609113	9.5231372	-0.013203319	0.01834814
63	0.70905455	-0.089807279	0.45862682	5782.3549	69.494605	64.948188	-0.021476378	-0.016062399
64	0.98078349	-1.0430924	2.5382067	960.30078	11.947578	10.975987	-0.00081357394	0.098752044
65	1.7542944	-0.024825885	0.4115078	1421.4822	38.277442	30.216636	0.0013480028	-0.27094591
66	4.6016685	-0.43314576	2.5337191	936.70746	38.313979	22.406617	-0.23810808	0.15425384
67	3.9255614	-1.1696885	1.7913443	2967.256	102.13484	99.814307	0.18895842	-0.21027237
68	5.3373964	0.1944663	2.1127356	133.37401	9.1420386	8.8430516	0.024826951	0.35050101
69	5.6967739	0.28608051	0.4561375	1433.4187	42.23418	29.377196	0.060438071	0.032348405
70	5.7311327	0.79517612	0.80954091	562.46258	10.976297	10.538387	-0.2097672	-0.0056332215
71	0.45024997	-0.40209449	2.5918789	9610.8367	72.35244	57.916577	-0.18486091	0.46547382
72	4.1117304	1.1776959	2.6930017	519.36725	12.159349	9.5663032	0.039434593	-0.0021920969
73	5.8583724	-0.16391681	0.30577934	1354.7872	10.852977	9.9933244	0.16863673	0.043140169
74	4.7244838	0.055420077	2.6755138	373.19421	4.1222444	1.973065	-0.049893034	0.011440425
75	1.3956603	-1.2660667	2.9460804	787.51162	10.050251	9.5212995	0.02819613	-0.035277385
76	1.4531814	0.43086688	0.52270233	3509.1127	29.660803	15.677332	-0.15072649	-0.013430941
77	4.6484458	0.3994863	0.98852277	159.2333	1.2546699	1.2531525	0.032205486	0.25227239
78	1.4484263	-0.63576369	0.93861788	634.65597	9.9431557	6.7991227	0.2151622	0.22278446
79	1.3324137	0.7934745	0.36663142	5995.3006	47.234275	39.83858	0.10060462	-0.19219981
