simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	0.058534055	0.107761	2.1534174	1506.5086	28.664797	28.13323	0.0746299	-0.019900559
1	4.2861949	-1.448396	0.88323926	4365.6114	53.273188	43.085046	0.566317	0.024654045
2	2.0821095	-0.1511368	2.9694418	4840.1061	61.943622	55.878155	0.0030075335	0.0122214
3	2.2682742	-0.56883262	0.41407712	2447.6766	39.649747	16.426496	-0.012099816	-0.14656971
4	1.4714451	-0.6398126	1.6305539	720.90653	10.408422	10.264012	0.0038766955	-0.25802711
5	2.2136857	0.77921602	2.3814029	5753.4711	62.476392	52.021328	0.0078365142	0.071887175
6	5.3919184	-0.02730431	0.97170485	2016.5509	41.901931	36.817466	0.013883524	0.091195298
7	1.0267201	-0.83707702	2.4291088	2043.0794	13.255095	13.06827	0.0069950224	0.027017958
8	2.3650673	-0.8619666	2.1812584	699.54969	25.596168	23.344653	-0.12027962	0.28686317
9	2.7476572	-1.2241757	2.8669594	1670.1577	21.378226	19.203339	-0.030059863	-0.0024232112
10	5.2884446	-0.3925152	2.7789984	1941.7136	18.720776	13.729139	0.042283867	-0.11446614
11	3.6490631	-0.18857951	0.99361016	2853.0074	47.087235	30.770825	0.14583618	-0.0057465595
12	2.9073645	0.58835223	2.7814045	2306.6416	12.969708	10.844595	0.1543251	-0.25309599
13	2.9234847	-0.61424613	0.54283478	1897.0824	29.923896	13.062157	0.0065114478	0.14219371
14	3.4379761	1.0850764	2.5280371	2018.4966	44.295047	41.694243	0.014552127	0.31850463
15	3.70423	0.69447503	0.19379682	1853.4982	47.604054	26.486308	0.024015992	0.14901181
16	3.5817722	0.52802104	0.6735585	2990.8263	23.737675	13.787399	0.062491747	0.26347115
17	3.7971859	0.87535684	0.38678959	249.92291	36.244542	9.3139854	0.015823185	0.022656723
18	0.66888419	0.72449942	0.41072353	1360.548	10.13904	5.9224895	0.25182949	0.22925132
19	5.5552748	-0.033335504	2.5617974	1280.6733	13.07905	10.089748	0.30714789	0.15123518
20	2.5551373	0.15590735	1.3743943	836.75501	10.339439	9.5570468	0.037896217	-0.16049639
21	0.54163444	0.25383075	0.64851615	1442.5253	29.753988	10.256655	0.051468353	0.063565987
22	2.7429147	-0.83090338	0.42219035	1799.3899	10.766319	9.7494081	0.19155368	0.19955138
23	0.40122575	-1.0611557	1.8941512	1036.8523	46.462544	42.594926	0.33214068	0.27106368
24	4.5625499	-0.0033924737	0.32873468	892.06301	10.834677	9.7991599	0.15696047	0.16865524
25	3.2600868	-0.72179625	2.48729	3984.5553	42.952913	21.582631	0.15335007	0.16212905
26	4.600924	-0.14427749	2.5816669	2455.1901	46.363246	24.817601	0.31304641	0.21225858
27	5.4614414	0.20350803	0.72901468	1619.3445	12.426065	12.199849	0.15640749	0.34308042
28	3.934066	-0.64189086	0.9236774	987.60481	39.985252	10.219443	0.36744994	0.06110843
29	0.17145007	0.40632663	0.63911067	988.39465	24.907969	12.74701	0.068875463	-0.071388845
