simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	4.2620217	0.6847603	1.3204223	332.39895	10.483115	9.0746579	0.00080121883	0.26317235
1	4.16646	0.1384404	2.1691204	1012.6975	41.761345	40.646826	0.010328374	0.15138042
2	2.2682742	-0.56883262	0.41407712	2591.0942	37.100228	23.301318	0.012117236	0.055269937
3	2.2241974	-0.97164647	2.5341614	2746.8767	22.350065	13.447781	0.71834846	-0.069559011
4	1.4714451	-0.6398126	1.6305539	761.81266	16.006386	10.284198	-0.0043930732	0.094284687
5	1.0267201	-0.83707702	2.4291088	1899.1575	10.738402	7.9465432	0.40181505	0.1786674
6	2.3650673	-0.8619666	2.1812584	657.28301	11.306469	9.2031877	0.34177992	0.0043677111
7	5.2306863	0.17499876	2.3534463	2140.5586	97.926596	48.909772	0.087903662	0.015781669
8	5.2884446	-0.3925152	2.7789984	1771.0374	11.242031	10.779497	-0.20315166	0.011198851
9	4.9078645	-0.27543558	1.9063025	1706.5865	84.513272	45.651776	0.21048756	0.019712421
10	5.1249645	-0.77774614	2.5698231	4928.4635	46.670015	29.073202	-0.01302791	-0.025048122
11	3.3870832	0.83179312	0.58871141	1315.0714	12.107254	9.8767085	0.016201468	-0.038259013
12	5.9947987	0.58448203	2.421729	1046.8954	21.667095	2.5970969	0.033014809	-0.077887453
13	3.70423	0.69447503	0.19379682	1889.3768	42.663578	29.488064	0.037515191	-0.088100291
14	3.7971859	0.87535684	0.38678959	158.44363	29.254971	1.4870773	0.10605007	0.095806078
15	6.1280585	-0.5691877	0.23365737	4695.9729	74.556845	69.477744	0.052572812	0.05803096
16	3.7392392	-0.21207263	1.1334813	1036.3013	22.625625	11.201338	0.050476614	0.013443353
17	1.7338857	0.6036851	0.40141782	8979.804	88.271069	49.442212	0.062015731	0.011672964
18	4.4653021	-0.077385241	0.72186005	5116.6653	109.78088	98.038365	0.060606936	0.11493553
19	4.5625499	-0.0033924737	0.32873468	964.94609	38.984723	26.590566	0.12360189	-0.0025739413
20	4.8019913	-1.2053481	0.85885508	5745.8185	61.014352	54.536017	0.0019968496	-0.087078245
21	1.446385	0.48462754	0.90684716	2201.7507	44.556291	31.301363	0.02041686	-0.0048403211
22	5.6884721	0.11746066	2.4076972	1141.0926	41.827941	35.345459	0.010499686	-0.20261268
23	2.986839	-0.89209796	1.8635908	1337.3149	44.336	27.372861	-0.29529435	-0.020579305
24	3.2130478	-1.008214	2.4053838	809.6539	3.0690108	2.9783639	0.014529428	-0.025750324
25	0.96535827	1.405876	2.6485628	267.31783	8.1019711	7.6679082	-0.0180451	0.16123343
26	0.86125001	-0.38782735	0.29863599	7772.6169	66.967462	65.877048	-0.060953034	-0.098613167
27	5.787684	0.76007296	0.23724288	5845.7757	66.272307	64.515913	0.14910476	0.042955013
28	2.1300433	0.37971655	0.79373039	3456.577	53.063392	38.746533	0.06909906	0.005671593
29	2.7534096	-0.54364461	1.0069017	2700.4384	48.323252	40.226398	0.24653668	0.068639181
30	3.3950243	-0.33706707	2.3010108	291.64302	2.9933189	1.4054389	0.20923589	-0.0074675106
31	2.4084685	0.086911397	0.26154381	569.1875	8.5728464	7.8880664	0.083276578	0.020198748
32	1.4256659	-1.163838	1.2945891	600.33354	12.256169	10.218022	0.13254021	0.18361665
33	0.59251636	-1.2848864	0.045897956	2443.7663	44.305366	28.213219	-0.005771393	0.039054571
34	0.78005649	1.0052041	0.67907597	2262.0679	12.136557	12.059285	0.036523182	-0.0042232407
35	3.1877311	0.031799557	1.0878383	439.31641	10.343173	9.6386583	0.14733691	0.019418433
36	1.2937638	0.85417064	2.5954271	3047.9687	48.296062	40.59958	-0.091699882	-0.16477007
37	1.6187509	-1.2082629	2.241285	648.70115	15.918375	5.5915534	0.024379148	0.096629564
38	2.2987218	-0.66782778	2.2454705	882.61038	13.128914	10.885258	-0.044384971	-0.4342195
39	0.71179619	-0.57124169	0.43502244	2026.5864	10.252064	7.1780028	0.03233895	0.18349549
40	1.0680127	0.41541339	2.4063556	4797.681	69.827014	63.308603	0.17651622	-0.0733373
41	3.3135728	0.72209747	2.3516611	1526.8327	11.997277	11.799292	0.12251345	-0.043402255
42	4.2690116	-0.061137693	2.7058954	269.42772	2.182162	1.3915589	-0.068748995	0.018145183
43	4.9260559	0.77806619	2.7293805	1358.5308	33.91893	32.407851	-0.21561496	0.12802247
44	6.2328929	-0.54661009	0.80578592	1907.5926	30.117614	19.074932	0.045789077	-0.042034988
45	0.1322557	0.47360286	2.0492857	1945.5447	46.772644	36.272726	0.034669021	-0.3064073
46	5.5724093	0.016154442	0.67794466	2339.6969	48.467505	14.378543	0.079396711	-0.0050287798
47	1.786631	0.68409147	0.40715415	1275.9568	22.084129	11.289327	0.015817692	0.049029435
48	3.8360637	0.46732018	2.6287626	1305.2055	13.108715	9.8096085	-0.25874941	-0.00062905877
49	4.8641515	-1.1185281	0.66906745	1314.3446	71.129043	41.944144	0.0054773518	-0.082924619
50	3.8774262	0.005712595	0.6649997	1717.9937	15.248269	14.953832	0.1023262	0.08845249
51	4.2703887	0.87247801	2.2879091	1643.8886	13.609113	9.5231372	-0.013203319	0.01834814
52	1.7542944	-0.024825885	0.4115078	1421.4822	38.277442	30.216636	0.0013480028	-0.27094591
53	4.6016685	-0.43314576	2.5337191	936.70746	38.313979	22.406617	-0.23810808	0.15425384
54	3.9255614	-1.1696885	1.7913443	2967.256	102.13484	99.814307	0.18895842	-0.21027237
55	5.3373964	0.1944663	2.1127356	133.37401	9.1420386	8.8430516	0.024826951	0.35050101
56	5.6967739	0.28608051	0.4561375	1433.4187	42.23418	29.377196	0.060438071	0.032348405
57	5.7311327	0.79517612	0.80954091	562.46258	10.976297	10.538387	-0.2097672	-0.0056332215
58	0.45024997	-0.40209449	2.5918789	9610.8367	72.35244	57.916577	-0.18486091	0.46547382
59	4.1117304	1.1776959	2.6930017	519.36725	12.159349	9.5663032	0.039434593	-0.0021920969
60	5.7735064	0.17923819	0.4441044	1172.4563	12.485785	7.804607	-0.03622813	-0.0084249452
61	1.1751204	1.0358351	2.8450869	1898.221	38.129597	12.722142	0.27305154	0.025598712
62	4.7244838	0.055420077	2.6755138	373.19421	4.1222444	1.973065	-0.049893034	0.011440425
63	1.3956603	-1.2660667	2.9460804	787.51162	10.050251	9.5212995	0.02819613	-0.035277385
64	0.76268374	-0.33575691	2.9391875	1282.3999	11.124996	9.9737652	-0.10460619	0.11560359
65	4.6484458	0.3994863	0.98852277	159.2333	1.2546699	1.2531525	0.032205486	0.25227239
66	1.4484263	-0.63576369	0.93861788	634.65597	9.9431557	6.7991227	0.2151622	0.22278446
67	1.3324137	0.7934745	0.36663142	5995.3006	47.234275	39.83858	0.10060462	-0.19219981
68	1.9759382	-0.777022	2.2119842	2490.5855	38.711155	37.036785	0.29549131	0.026371234
69	4.5066651	0.64139551	2.3743805	1065.1305	10.454873	10.209012	-0.094924595	-0.030521742
70	5.2001806	-0.47649348	2.7998761	902.59017	9.4673723	2.0335132	0.020991135	-0.20717443
71	0.4239015	0.16744121	2.2705218	991.92247	11.47656	11.328168	0.55065675	-0.18254017
72	4.7860584	0.68903642	0.77036909	438.60863	9.1427552	1.6743948	0.054479016	0.013392442
73	3.4406046	-0.046089288	2.0887053	1933.6373	47.383363	36.294842	-0.062746862	0.011917264
74	0.74084987	-0.15450337	2.4096784	625.28959	18.157322	9.5443686	-0.26582414	0.29527992
75	5.7142997	-0.20353962	1.0293295	551.96009	40.398722	36.345063	0.029966797	0.42643379
76	6.0422185	-0.82245846	2.5673898	754.77445	51.225501	44.60454	0.16450249	0.0073848226
77	4.4045878	0.50015572	0.79676252	1804.9464	48.586093	46.17622	0.098461988	0.018505931
78	3.0608573	0.70943968	1.5734348	293.2124	5.9632665	2.7669252	0.018950138	0.032417361
79	0.15310425	0.31416332	2.2774638	5835.3699	67.120096	66.412194	0.075587782	0.0049824055
