simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	0.058534055	0.107761	2.1534174	1445.543	11.378744	8.3560444	-0.060486738	-0.0040487505
1	4.2620217	0.6847603	1.3204223	355.72644	10.700563	9.6508136	0.047326489	0.098222522
2	4.16646	0.1384404	2.1691204	1018.9344	11.457735	10.005627	0.014433415	-0.065901855
3	2.2682742	-0.56883262	0.41407712	2604.6911	13.73117	13.324721	0.1929834	-0.046173961
4	3.3923103	0.96069304	0.31545833	11789.681	87.751708	63.009861	0.039027174	3.3597359e-05
5	2.0473784	0.34121813	2.3151222	2355.7649	11.952602	10.454688	-0.07276409	-0.0058013381
6	2.0567306	0.71463211	1.2443185	4308.8162	58.750715	35.209368	-0.011690118	0.39794762
7	1.0267201	-0.83707702	2.4291088	2206.2555	13.493755	11.565238	-0.11483275	0.19079451
8	2.3650673	-0.8619666	2.1812584	459.79521	9.1455849	1.5991996	-0.015705939	0.15519191
9	5.2306863	0.17499876	2.3534463	2310.9224	12.039132	11.265809	0.14017075	0.031799864
10	1.6909189	0.25071427	1.404714	1793.9021	47.956908	42.448991	0.0076882145	0.035125126
11	4.7482638	0.95330657	2.5572821	6886.2155	36.356262	18.86291	0.0067356888	0.038666087
12	2.9073645	0.58835223	2.7814045	2119.8622	12.243283	4.5045278	0.062883622	-0.20699986
13	3.6021614	0.70746652	2.6355427	1948.582	30.194527	18.216541	0.042265405	0.059878256
14	2.9234847	-0.61424613	0.54283478	2069.1254	18.990774	18.65696	0.081983647	-0.02506833
15	5.8497674	-0.48796735	0.4592767	2759.4482	76.351184	53.738158	0.38999325	-0.10143465
16	0.74010806	0.84076389	2.9093968	7099.4517	67.73927	41.465394	-0.02310014	-0.10090967
17	3.3870832	0.83179312	0.58871141	888.72735	10.3397	1.5845238	-0.044838022	-0.14913437
18	1.9238028	-1.0579705	1.8383232	1983.8852	24.602251	17.632577	0.22756422	0.21975393
19	5.9947987	0.58448203	2.421729	1728.2907	15.149296	13.493046	0.045085502	0.020116291
20	3.5817722	0.52802104	0.6735585	3124.7778	14.822301	12.266125	0.064805035	0.048294508
21	3.7971859	0.87535684	0.38678959	123.76995	1.3243725	1.1824437	-0.014315438	-0.023003206
22	6.1280585	-0.5691877	0.23365737	4906.5253	17.569413	15.493959	0.056378941	-0.14015519
23	2.5551373	0.15590735	1.3743943	649.85015	11.52042	2.0010539	-0.010485387	0.010744516
24	3.8362795	-0.2767115	1.0754005	2395.5377	42.986027	31.137758	0.062539736	-0.0041562585
25	1.0518533	0.45252743	2.1388016	991.73003	11.06191	10.270519	-0.0034660714	0.025909126
26	3.7392392	-0.21207263	1.1334813	1070.1844	43.891155	19.958295	0.085706312	0.059034688
27	4.8304876	0.18633425	2.7664185	4749.2805	36.255944	20.775733	0.19919174	0.30129342
28	0.54163444	0.25383075	0.64851615	1449.9948	12.996551	5.8827508	0.071217304	0.47970281
29	0.6232944	-0.26096634	0.24048531	4344.0689	55.470404	50.187973	0.20531269	-0.013635713
30	5.02435	-1.3291572	0.50467617	1619.2674	30.433796	29.288448	0.16304653	0.0056104353
31	2.911966	0.5229001	2.0415137	5252.8819	47.395235	44.276379	-0.01558324	-0.10042835
32	5.1428342	0.35850647	0.82278523	5122.5242	85.61294	44.071713	0.15881801	0.063140494
33	2.4513505	-0.22354046	0.33238289	1348.2747	16.185328	11.395831	-0.032402198	0.22146418
34	4.5625499	-0.0033924737	0.32873468	452.8967	1.8788836	1.367804	0.096932754	-0.069291804
35	4.8019913	-1.2053481	0.85885508	5753.8016	80.651009	64.750606	0.19868904	0.18978667
36	0.17145007	0.40632663	0.63911067	1023.2871	41.480091	19.504274	0.078883053	0.12704386
37	5.6884721	0.11746066	2.4076972	616.51653	2.9482688	1.6255482	0.30657986	0.0075188655
38	5.5043929	0.21832728	2.9656049	3777.9574	52.692462	13.546354	0.30393692	-0.047687041
39	4.5274938	-0.31407747	0.49975332	3478.7746	25.372503	15.049897	-0.1258316	-0.014387895
40	3.6179393	-0.008261403	3.0413019	12647.949	196.96172	192.64266	-0.10379795	0.002759038
41	3.2130478	-1.008214	2.4053838	1270.5325	11.218854	3.4347633	0.023382139	0.11476026
42	0.96535827	1.405876	2.6485628	137.89888	1.309963	1.2762127	0.02843149	-0.022308258
43	5.3458722	0.25128815	1.5556233	1381.6224	44.510853	35.983134	0.23947793	0.090470228
44	1.8457764	-0.61783318	2.4572055	2573.2816	20.544982	14.569091	-0.050220726	0.21953422
45	3.6301091	-0.48680528	1.5330649	2351.0736	64.513253	48.790221	0.14242141	0.5588955
46	5.9241902	-0.7471329	2.9610622	2450.7513	51.678085	38.506688	0.16668248	-0.0033224119
47	3.3950243	-0.33706707	2.3010108	661.73908	13.190706	10.858302	0.10787105	-0.18601796
48	2.4084685	0.086911397	0.26154381	417.19624	5.6607988	1.7460508	-0.12660803	0.064010343
49	5.575625	0.60180714	2.2818349	2147.0726	13.570352	12.088405	0.21186822	0.0090146783
50	3.4821762	1.0684138	2.2965978	3230.2167	39.937302	14.284943	0.091795085	0.01521033
51	2.434501	-0.44445802	2.6385445	655.76988	1.8567555	1.6577093	0.086376199	0.04586202
52	3.5920853	-0.45168727	2.6051657	2309.8012	12.64412	12.352807	0.16146922	0.17160513
53	1.8504877	-0.031823257	0.82568036	1558.5266	13.359604	12.238897	0.32016031	-0.036532353
54	2.0413923	0.99141729	0.84020526	3045.4178	48.62726	45.276149	0.034249774	0.45500968
55	2.2987218	-0.66782778	2.2454705	937.28324	44.861895	40.272863	-0.22470371	0.0053405922
56	2.2201664	1.1211415	2.648567	3135.1784	12.74306	11.938034	0.27484941	0.0088454497
57	1.0223138	0.73047324	2.6587299	5198.9508	36.810353	16.655812	0.029587841	-0.10430426
58	0.69866177	0.81989794	0.42700355	9723.5744	84.526169	66.03702	-0.031358677	0.22386851
