simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	4.2620217	0.6847603	1.3204223	355.72644	10.700563	9.6508136	0.047326489	0.098222522
1	4.16646	0.1384404	2.1691204	1018.9344	11.457735	10.005627	0.014433415	-0.065901855
2	3.3923103	0.96069304	0.31545833	11789.681	87.751708	63.009861	0.039027174	3.3597359e-05
3	2.0473784	0.34121813	2.3151222	2355.7649	11.952602	10.454688	-0.07276409	-0.0058013381
4	0.22558558	0.90627516	1.1306471	1304.1807	50.904365	46.661139	0.19117359	0.13175319
5	1.0267201	-0.83707702	2.4291088	2206.2555	13.493755	11.565238	-0.11483275	0.19079451
6	3.1388802	-0.82096818	2.3758656	5072.2502	33.72578	27.591324	0.052097048	-0.002703998
7	2.3650673	-0.8619666	2.1812584	459.79521	9.1455849	1.5991996	-0.015705939	0.15519191
8	5.7192527	-0.041758542	2.5068665	4941.8715	25.614399	17.021776	-0.1961182	-0.07318732
9	1.2524142	1.0348244	3.0011448	3231.5236	14.752895	13.149121	0.06074793	0.0050513358
10	0.65660782	0.46984221	2.7158246	2261.9356	12.317517	10.799513	0.012237243	-0.0013568577
11	5.2306863	0.17499876	2.3534463	2310.9224	12.039132	11.265809	0.14017075	0.031799864
12	6.1275014	0.8693476	1.8171581	596.85403	14.884244	1.4481122	-0.06161557	0.062119106
13	4.7482638	0.95330657	2.5572821	6886.2155	36.356262	18.86291	0.0067356888	0.038666087
14	4.1491031	-0.8603326	0.45852517	8455.4863	64.540805	62.004401	0.20108276	0.32772966
15	2.9073645	0.58835223	2.7814045	2119.8622	12.243283	4.5045278	0.062883622	-0.20699986
16	2.9234847	-0.61424613	0.54283478	2069.1254	18.990774	18.65696	0.081983647	-0.02506833
17	5.8497674	-0.48796735	0.4592767	2759.4482	76.351184	53.738158	0.38999325	-0.10143465
18	0.74010806	0.84076389	2.9093968	7099.4517	67.73927	41.465394	-0.02310014	-0.10090967
19	1.9238028	-1.0579705	1.8383232	1983.8852	24.602251	17.632577	0.22756422	0.21975393
20	5.9947987	0.58448203	2.421729	1728.2907	15.149296	13.493046	0.045085502	0.020116291
21	3.5817722	0.52802104	0.6735585	3124.7778	14.822301	12.266125	0.064805035	0.048294508
22	3.7971859	0.87535684	0.38678959	123.76995	1.3243725	1.1824437	-0.014315438	-0.023003206
23	0.66888419	0.72449942	0.41072353	1012.5166	3.8170308	2.3439807	0.027667767	0.078343308
24	6.1280585	-0.5691877	0.23365737	4906.5253	17.569413	15.493959	0.056378941	-0.14015519
25	2.5551373	0.15590735	1.3743943	649.85015	11.52042	2.0010539	-0.010485387	0.010744516
26	4.5042712	0.51681829	0.26632547	1950.7123	12.668328	10.802665	0.01410048	0.1724426
27	1.0518533	0.45252743	2.1388016	991.73003	11.06191	10.270519	-0.0034660714	0.025909126
28	3.7392392	-0.21207263	1.1334813	1070.1844	43.891155	19.958295	0.085706312	0.059034688
29	4.8304876	0.18633425	2.7664185	4749.2805	36.255944	20.775733	0.19919174	0.30129342
30	0.54163444	0.25383075	0.64851615	1449.9948	12.996551	5.8827508	0.071217304	0.47970281
31	5.02435	-1.3291572	0.50467617	1619.2674	30.433796	29.288448	0.16304653	0.0056104353
32	2.911966	0.5229001	2.0415137	5252.8819	47.395235	44.276379	-0.01558324	-0.10042835
33	2.7429147	-0.83090338	0.42219035	952.43129	2.5739663	1.5057471	0.28143106	-0.039833848
34	5.1428342	0.35850647	0.82278523	5122.5242	85.61294	44.071713	0.15881801	0.063140494
35	1.7570402	0.74602049	1.6467123	2693.1221	44.08817	43.879923	-0.0035345786	0.29806048
36	2.4513505	-0.22354046	0.33238289	1348.2747	16.185328	11.395831	-0.032402198	0.22146418
37	4.5625499	-0.0033924737	0.32873468	452.8967	1.8788836	1.367804	0.096932754	-0.069291804
38	1.8899156	0.81910159	2.1703394	1477.0528	15.004756	13.039083	0.025268669	0.2177645
39	2.8573634	0.97193125	2.3381513	3664.8209	63.220217	48.946034	0.023650808	-0.0034555808
40	4.8019913	-1.2053481	0.85885508	5753.8016	80.651009	64.750606	0.19868904	0.18978667
41	0.99107837	-0.60743951	0.36721849	3104.8309	15.271694	13.885456	0.010542754	-0.21631635
42	0.17145007	0.40632663	0.63911067	1023.2871	41.480091	19.504274	0.078883053	0.12704386
43	5.6884721	0.11746066	2.4076972	616.51653	2.9482688	1.6255482	0.30657986	0.0075188655
44	5.5029787	-0.29832353	0.79557221	7259.9521	198.73424	136.58197	0.28658404	0.096133873
45	5.5043929	0.21832728	2.9656049	3777.9574	52.692462	13.546354	0.30393692	-0.047687041
46	4.5274938	-0.31407747	0.49975332	3478.7746	25.372503	15.049897	-0.1258316	-0.014387895
47	5.8845313	-0.62850955	0.82015032	172.72828	1.2774784	1.1804635	0.0068582316	0.05586369
48	0.72515291	-0.7930364	0.29642738	16781.701	95.762045	50.558255	0.12012533	-0.19156429
49	3.6179393	-0.008261403	3.0413019	12647.949	196.96172	192.64266	-0.10379795	0.002759038
50	1.8769165	-0.34140807	0.32122354	2987.1388	12.535984	2.9468833	0.46478452	-0.033033887
51	2.8135691	0.5885328	0.63436937	2421.0627	12.309401	12.051386	0.058046758	0.034126593
52	0.96535827	1.405876	2.6485628	137.89888	1.309963	1.2762127	0.02843149	-0.022308258
53	2.5406791	-1.0567337	1.3062361	2999.634	23.325134	15.610213	0.051239387	0.040692956
54	5.9676174	0.60324529	0.50822698	1489.3301	12.470489	10.841312	0.005593608	0.21550771
