simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	4.9727176	-0.79564713	0.521194	1331.5513	12.222425	10.149471	0.090174676	-0.076533082
1	3.8945277	-0.085180657	0.19184119	4096.4229	14.555901	14.329702	0.035468406	-0.093855767
2	0.058534055	0.107761	2.1534174	1559.6973	12.846014	11.099274	0.14200234	0.027140592
3	4.2620217	0.6847603	1.3204223	247.87994	4.362236	1.5807807	-0.0026607237	0.12250663
4	4.2269646	-0.94302286	1.8136851	2942.8665	23.368386	21.074646	0.027446045	-0.026488403
5	4.16646	0.1384404	2.1691204	1042.5844	45.371302	35.184179	0.30285369	-0.00093394556
6	2.4494884	0.67171123	3.0420277	7008.8834	39.280652	34.106709	0.20130779	0.034400044
7	3.556187	1.2974908	0.76308083	1782.7778	13.140339	10.782179	-0.011610774	0.0065332351
8	4.2550486	-0.092159908	2.6627369	4113.4282	48.499927	41.374655	0.05428959	-0.0059815647
9	1.7929447	1.1267415	1.328239	6742.3011	62.2929	46.048964	-0.071260898	0.055051305
10	3.4936268	-0.20759648	1.1455371	2471.8472	34.002361	14.152127	0.19336338	0.12915379
11	0.43188698	-0.55696732	0.50728767	1998.8114	13.739905	12.841534	-0.01097763	0.15267385
12	1.4714451	-0.6398126	1.6305539	821.79306	18.853778	10.134559	0.28138398	-0.15351031
13	4.3349736	-1.0601715	0.97626947	3116.6848	56.380119	54.13887	0.0075721027	0.061485526
14	2.0769006	-0.50194133	1.8457104	13283.094	166.69224	96.923409	0.050792946	-0.0080196774
15	2.8022209	-1.2382432	2.3704279	2802.5264	26.787517	20.175251	0.057647535	-0.13929231
16	3.1388802	-0.82096818	2.3758656	5028.5842	56.560253	42.737625	0.019358834	0.077116911
17	2.3650673	-0.8619666	2.1812584	658.98687	12.230939	3.8844157	0.29916759	0.0057885419
18	0.74337634	-0.47133015	0.61827206	2985.7807	12.727985	12.472372	0.054859798	0.13232194
19	5.2306863	0.17499876	2.3534463	2451.6243	24.513035	22.25029	-0.0069749644	0.14598156
20	6.1275014	0.8693476	1.8171581	832.28243	9.7147136	3.2953359	-0.01154831	0.024606929
21	5.2884446	-0.3925152	2.7789984	2031.1404	59.91264	29.016488	0.10535532	0.053351331
22	3.0016071	0.2540073	0.11265096	3339.0279	49.556152	20.095372	-0.16565709	-0.010495515
23	5.7221478	-0.087606863	2.2266368	6100.9424	74.28945	65.541076	-0.31303906	0.02951479
24	0.38610984	-1.2183755	1.0088656	1120.5445	10.798855	4.2809388	-0.10124489	-0.019331095
25	3.6490631	-0.18857951	0.99361016	2832.2918	52.690798	14.502569	0.081093411	0.048212451
26	2.9073645	0.58835223	2.7814045	2706.6972	13.289188	13.141451	-0.64184981	0.026143066
27	1.1294427	-0.3301602	0.39268828	4011.2598	14.308349	13.891749	0.0018437832	-0.01557681
28	3.3870832	0.83179312	0.58871141	1475.8979	10.484057	9.3115002	0.040251278	-0.19798038
29	5.9947987	0.58448203	2.421729	1748.2035	11.359542	10.900025	0.045764784	0.074500427
30	3.70423	0.69447503	0.19379682	1907.0482	28.857415	10.747064	-0.0071541854	0.03590675
31	3.7971859	0.87535684	0.38678959	175.03491	1.8698382	1.8564736	-0.13088798	0.036878283
32	0.66888419	0.72449942	0.41072353	954.19147	2.4311703	1.6369235	-0.0084128521	0.054252875
33	5.0736492	0.9694002	2.2041229	3863.8075	36.52243	30.807776	0.012737277	0.15288343
34	5.5552748	-0.033335504	2.5617974	1402.832	11.310429	9.7855919	0.19324188	0.011466963
35	2.5551373	0.15590735	1.3743943	635.34263	7.6677267	1.3672157	0.080912523	0.0053676609
36	4.4452901	1.2454856	0.18360695	7587.6858	67.029566	60.866834	-0.007533539	0.013754981
37	1.1487992	-0.57504155	1.460213	2173.9145	42.242136	38.225707	-0.064652527	-0.0443708
38	1.0518533	0.45252743	2.1388016	1020.7998	10.388929	10.043842	0.0029747243	0.042928932
39	5.0139814	-0.88927687	2.5829282	5605.4338	59.812286	34.255502	0.16870663	0.20581029
40	0.6232944	-0.26096634	0.24048531	4369.4895	61.866741	55.000268	-0.093767744	0.26693136
41	5.900473	0.87225024	0.82230985	1433.2132	30.058643	20.784458	-0.03623453	0.040111189
42	5.02435	-1.3291572	0.50467617	1540.2059	10.923954	6.0460504	0.075991212	0.21665238
43	1.4184995	0.30717512	1.2305182	1847.9213	19.218113	14.206223	0.1288671	-0.10278666
44	0.031976042	0.17489739	2.1404478	2988.1712	44.499408	33.59513	-0.12395889	0.029380061
45	2.7429147	-0.83090338	0.42219035	2095.3059	44.506611	26.452993	-0.007701677	-0.064326648
46	2.4513505	-0.22354046	0.33238289	615.32552	1.3428808	1.3182776	-0.017941399	0.01186642
47	4.5625499	-0.0033924737	0.32873468	989.44781	34.326235	30.089858	0.043510073	0.029193029
48	4.530153	-0.28386365	0.84779329	3619.4799	42.559346	39.644074	0.032843465	0.31856491
49	0.99107837	-0.60743951	0.36721849	3257.6625	17.150436	14.858355	0.089037202	0.089628678
50	0.17145007	0.40632663	0.63911067	756.93891	8.2741971	1.5611573	0.47203732	0.054115246
51	5.6884721	0.11746066	2.4076972	805.41486	10.352512	1.5721294	-0.0033682663	-0.036827338
52	5.8845313	-0.62850955	0.82015032	205.76409	1.3514096	1.2516564	0.051072653	-0.011553936
53	0.095746356	-1.1546227	0.66890499	1518.3734	17.098601	3.2710688	0.55224495	0.060272704
54	0.72515291	-0.7930364	0.29642738	17087.605	91.768602	87.898264	-0.047969375	-0.24260362
55	3.6719067	0.20886518	1.0533389	4162.4576	43.627425	42.540747	0.11140798	0.063075715
56	4.0918634	0.95638553	0.67038992	6241.8755	59.948063	28.502081	0.099459801	-0.0118341
57	3.2130478	-1.008214	2.4053838	1618.8051	36.68483	11.303977	0.039290205	0.038912576
58	2.8135691	0.5885328	0.63436937	2478.4446	37.2109	14.138068	0.11658618	-0.085631567
59	5.0305726	1.4421111	2.2938178	2202.2438	13.375149	12.781495	0.004967515	0.16292792
60	0.96535827	1.405876	2.6485628	310.88511	10.572492	9.3830824	0.2138033	0.18280721
61	3.3061097	0.24480191	1.1386102	9478.0852	80.428513	73.793459	0.058777017	0.17539307
62	3.9207928	1.3125828	0.57731382	8546.6996	149.62226	83.789943	0.030071568	0.30173037
63	3.1504563	-0.31338752	2.786711	5318.5909	58.807637	54.248231	0.0055610468	0.0031386758
64	4.54641	0.2090363	1.2068097	2507.6764	14.754494	14.589449	0.00058521124	0.43208053
65	5.9676174	0.60324529	0.50822698	1447.9878	59.975005	18.999081	-0.0047589178	0.00077834401
66	0.22270614	0.70805593	1.8320307	920.22462	10.304013	3.3031508	-0.085412804	0.17944702
67	3.6301091	-0.48680528	1.5330649	2388.2327	64.766712	48.981908	0.14242141	0.5588955
68	1.5798413	0.98655656	2.8180838	14317.075	96.165515	90.8031	0.19811254	-0.08389781
69	2.1300433	0.37971655	0.79373039	3495.4352	59.434722	56.192708	0.098003859	0.024100417
70	0.10294539	0.85642553	2.5697558	1519.2254	12.581891	11.800483	0.0016809209	-0.053580255
71	3.3950243	-0.33706707	2.3010108	664.29694	25.832377	10.900635	0.00071647439	-0.05878739
72	2.4084685	0.086911397	0.26154381	392.96024	2.9975723	1.357018	0.0026290028	-0.039892901
73	6.244504	0.16734355	1.8054758	1177.9423	12.831723	11.199839	0.064062568	-0.084833991
74	3.7988392	-0.45573984	1.974789	2150.4525	57.472006	47.696447	-0.27298079	0.099641141
75	0.59251636	-1.2848864	0.045897956	2572.8758	13.75377	12.694414	0.11629173	0.45553125
76	2.848723	-1.151768	0.49390556	7146.592	77.138504	55.999199	0.028943661	-0.0024888194
77	0.096313154	-0.5208058	0.67685908	1052.6255	12.729861	11.586344	0.039059773	-0.00099917337
78	0.83633254	0.53932123	0.96249459	9288.0472	226.21419	225.52078	0.36604909	0.093882468
79	3.5413624	-0.16694084	1.4356485	2567.0906	53.946679	51.785317	-0.024000402	-0.12025846
80	4.9203844	1.129304	2.4169351	7420.6794	69.004924	55.056553	0.15788274	0.18255622
81	5.575625	0.60180714	2.2818349	2205.7031	18.914861	15.318765	-0.3269812	0.0029134021
82	3.6029505	-0.86447741	2.8300176	2740.5716	14.628476	12.828339	-0.093988118	-0.018039443
83	5.2292108	-1.089742	0.72058641	8507.5579	44.887191	41.966023	-0.031749717	-0.024652435
84	2.0413923	0.99141729	0.84020526	3127.0626	38.149611	31.911179	0.12989679	0.029953976
85	5.8493326	-0.054763019	2.7044718	1520.0662	10.067809	8.9464743	0.10422572	0.091934773
86	1.6187509	-1.2082629	2.241285	794.30353	28.996881	22.987265	0.073689167	0.025726662
87	2.2987218	-0.66782778	2.2454705	794.51879	6.8441408	3.0519187	0.014896645	0.23358581
88	0.71179619	-0.57124169	0.43502244	2676.035	13.564268	13.559921	0.1296779	-0.061220211
89	4.5086043	-0.18030863	0.76511777	6893.6408	77.95209	77.25856	-0.01881133	-0.0076585753
90	3.3135728	0.72209747	2.3516611	1666.9667	12.331008	9.4414246	-0.38049588	-0.014191264
91	4.28981	-0.59965259	2.3022525	5620.1501	66.08575	54.141059	-0.01681113	-0.09404028
92	5.2420045	-0.70198515	2.0292047	10586.926	81.481968	76.601171	-0.025204492	0.089076718
93	2.8306436	0.19983041	2.6879702	1148.3628	4.7394072	2.2093422	-0.36258784	0.015863983
94	0.52804329	0.78690536	2.1083644	4124.1137	53.974915	47.168938	0.07525187	0.31793552
95	4.2690116	-0.061137693	2.7058954	456.40185	2.7655531	2.6960329	-0.19385608	0.092537624
96	2.379602	0.1239558	2.255562	2883.5999	52.199356	13.601245	0.26391946	0.057256235
97	5.3307909	-0.60343408	0.34666124	2164.8167	23.859175	3.9299772	0.04234258	-0.062539153
98	1.3344357	0.88185332	1.6413931	1956.7891	42.624931	32.901336	0.13217146	0.42523144
99	2.7799187	-0.71642272	0.60879597	6737.6624	73.409224	59.532189	-0.11764735	0.034982355
100	1.7616645	-0.23895613	2.7726104	811.37464	10.042235	1.5344678	-0.17527514	-0.13115411
101	1.786631	0.68409147	0.40715415	1364.9049	22.35048	11.425484	0.015817692	0.049029435
102	6.1355734	0.90090942	0.47888639	9996.0836	91.954059	77.865053	0.1176694	0.74683081
103	5.2863103	-0.37059653	0.4837616	2579.8074	14.543339	13.60494	0.12321167	0.0097738768
104	0.13958807	-0.9271967	0.95901775	1166.5644	38.87549	33.474538	-0.010304451	-0.042055956
105	4.8641515	-1.1185281	0.66906745	874.3783	24.573402	1.4468866	-0.056299073	0.183066
106	2.3531795	0.055067242	0.14395914	427.76013	1.5312264	1.3951894	0.028238184	0.31576141
107	2.7569914	-0.021537569	1.4348569	5732.2045	55.935823	53.368511	0.098921697	-0.12820937
108	6.224693	0.019906831	2.8424427	4842.0091	47.557011	15.382604	0.0099751568	0.0006570513
109	4.2703887	0.87247801	2.2879091	1621.9464	27.58809	4.820787	-0.038654963	0.49835828
110	5.964818	0.34912215	1.9803231	3836.3166	55.919222	38.957732	0.052686739	0.046975288
111	2.6856099	-0.21924448	0.71738469	5141.8555	46.905536	46.450488	0.0013639656	0.10150575
112	6.0119545	-1.1535771	0.14941762	1195.1885	10.38476	9.60105	0.069422278	0.089171419
113	0.98078349	-1.0430924	2.5382067	1048.9732	38.672844	33.79693	0.27874504	0.15727522
114	2.4539329	0.58655723	2.2651801	16129.063	123.53028	92.0154	0.0038747853	0.11253044
115	0.6196037	-0.66642769	1.8497836	1495.7946	12.372067	11.81641	0.034867096	-0.1542157
