simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	1.7026286	0.82826891	0.32740881	8944.6153	92.879897	77.340844	0.30669473	0.084973577
1	4.9727176	-0.79564713	0.521194	1216.1452	26.161863	5.3205726	0.092474988	0.056781434
2	3.8945277	-0.085180657	0.19184119	4070.8093	55.493803	32.792141	0.052133124	0.03078383
3	3.4985618	1.4760648	0.44284782	5677.4648	69.877998	60.373083	0.38981264	0.10295029
4	4.2620217	0.6847603	1.3204223	204.08175	1.5158616	1.3276003	0.020498085	0.037859967
5	4.16646	0.1384404	2.1691204	580.34629	1.6612931	1.5831919	-0.035905521	0.023441813
6	2.4494884	0.67171123	3.0420277	6441.0433	95.048599	73.113145	0.074444224	0.10743675
7	3.556187	1.2974908	0.76308083	1800.7104	13.598391	12.432136	-0.025456447	-0.00049817483
8	0.48051425	0.15663183	2.4569529	2404.1724	15.450363	13.514136	-0.00030095443	0.0086354301
9	5.6018954	-1.1613052	1.6899994	1115.2448	11.881014	11.178604	0.46037156	-0.16446564
10	1.5772622	-0.81375492	2.2659462	3035.834	22.857711	19.07713	0.015042433	-0.06195159
11	5.2272277	0.24885025	1.2274494	4191.554	58.133402	56.547389	0.020440752	0.10469946
12	4.6720737	-1.0833957	1.1453322	1358.6831	40.354626	31.422863	0.048849347	0.022722297
13	3.9518699	1.0055623	2.035929	1261.1232	21.533627	19.655934	0.079163008	0.12419287
14	2.2136857	0.77921602	2.3814029	6102.0807	60.332169	43.268528	0.074867283	0.022111568
15	0.4239995	1.116714	1.8883519	9469.4446	151.42478	96.333261	0.063734202	-0.0063816689
16	4.7881204	0.55906714	1.8406878	5038.4006	42.290182	42.236995	0.01934623	-0.012249921
17	2.3650673	-0.8619666	2.1812584	712.89847	9.6645102	9.2223671	-0.015074737	-0.3612079
18	3.7273358	-0.35401533	2.8657352	11408.394	87.904831	79.043764	-0.017045276	-0.099022659
19	2.7476572	-1.2241757	2.8669594	1755.51	14.710901	13.896503	-0.11152457	-0.1197876
20	0.65660782	0.46984221	2.7158246	2397.4154	14.723236	12.7101	-0.049768088	-0.04190901
21	5.2306863	0.17499876	2.3534463	2413.7759	12.995822	10.761813	0.005598405	-0.0029586716
22	2.7417098	0.21261595	0.58092462	1469.6309	111.42185	110.33182	-0.29022868	0.13387057
23	6.1275014	0.8693476	1.8171581	989.50833	10.099075	10.003608	-0.3651035	0.21380409
24	0.38610984	-1.2183755	1.0088656	1299.4803	13.363766	11.099168	0.18015436	0.26399921
25	1.9988121	0.62707714	0.63173155	3131.8024	42.49993	30.398874	0.12212808	-0.62085967
26	2.9073645	0.58835223	2.7814045	2736.5293	13.891897	11.653422	-0.23061481	0.01591934
27	3.9932127	0.33076141	1.8647477	3269.704	44.195128	35.819978	-0.073664493	0.19768218
28	4.8873007	-0.49142552	0.629793	3492.9727	42.860779	27.874032	0.048056061	-0.10547669
29	5.4265147	0.89876316	1.3087356	10586.723	165.61855	160.68172	0.0035947961	0.13528895
30	3.3870832	0.83179312	0.58871141	1513.9776	12.020633	11.469789	0.13980666	-0.035414424
31	3.295891	-0.028252429	2.759825	17392.427	228.48614	223.61338	0.040283295	0.10682171
32	1.9238028	-1.0579705	1.8383232	1988.4218	11.761554	11.264674	0.032261302	0.16990882
33	5.9947987	0.58448203	2.421729	1078.4899	2.9901282	1.9890547	0.057625262	0.1635049
34	5.8898344	0.38507601	0.62115138	3789.9915	14.954383	12.001425	0.055542999	-0.075401209
35	1.0541793	0.70152467	2.712213	33391.572	144.71516	137.64912	0.36310379	0.40385136
36	3.7971859	0.87535684	0.38678959	281.68192	10.917882	9.0845419	-0.10425304	0.03336954
37	0.66888419	0.72449942	0.41072353	1638.2584	14.067479	4.4676812	0.29916759	0.0057885419
38	5.0463037	0.38040007	0.21040849	3414.9883	16.625553	13.738386	0.010198326	-0.025091719
39	5.0736492	0.9694002	2.2041229	3719.5399	57.682373	56.989446	-0.00012790746	0.13508158
40	2.5551373	0.15590735	1.3743943	743.53619	11.74349	1.7742268	0.29158471	0.094762851
41	4.5042712	0.51681829	0.26632547	1917.4594	8.8738095	5.6820274	0.38998846	-0.029211022
42	3.7392392	-0.21207263	1.1334813	1075.2337	11.738933	6.5854722	-0.0065347126	-0.151691
43	3.2845028	-0.17206765	0.69506639	1646.8669	12.553465	11.5866	0.024709	-0.011082178
44	5.02435	-1.3291572	0.50467617	1198.9794	10.536354	2.0731862	0.018617599	-0.010974053
45	2.6901248	0.55107727	1.2797982	4245.009	42.07219	17.43662	0.41171236	0.010780973
46	3.4173864	-0.18206993	2.7889411	6002.8994	67.697408	60.069352	0.28249463	0.19795117
47	2.7429147	-0.83090338	0.42219035	1277.7982	2.7811509	2.1078135	0.11118594	0.026702345
48	1.2773912	0.41706182	2.6823639	2458.7532	13.26448	11.556513	0.3415825	0.032220239
49	4.7891803	0.26134567	0.83688553	2177.5667	22.12382	11.545584	0.21650208	-0.028759964
50	1.7570402	0.74602049	1.6467123	2738.0948	44.284643	44.075468	-0.0035345786	0.29806048
51	2.8240368	0.26483566	1.6466247	6396.4798	66.503252	63.289965	-0.038182054	-0.089293639
52	2.4513505	-0.22354046	0.33238289	1357.7062	31.041834	13.40969	0.021970675	-0.07705489
53	4.5625499	-0.0033924737	0.32873468	837.85879	9.4219028	2.593028	0.27229134	0.20091421
54	1.8899156	0.81910159	2.1703394	1503.3815	16.062812	12.118014	-0.07518708	0.19021958
55	5.0108248	-0.30589353	2.4735549	2959.3794	45.939991	40.010443	-0.019039819	0.0075071128
56	0.069866059	-0.18399397	1.2551927	2197.2964	56.912746	34.139687	-0.0038631609	0.19179238
57	2.9921618	-1.0802854	1.3326961	4203.8366	59.878954	57.171872	-0.080363556	0.058020329
58	4.771396	0.37933384	2.294806	4416.4939	63.18121	56.378471	0.073369153	-0.010230774
59	1.446385	0.48462754	0.90684716	2273.6422	39.714945	37.755592	0.064643442	0.01472545
60	0.17145007	0.40632663	0.63911067	606.69224	1.9768583	1.605378	-0.11031135	0.033677762
61	5.6884721	0.11746066	2.4076972	712.86711	3.6956023	1.3215326	-0.03989787	0.17248865
62	5.8845313	-0.62850955	0.82015032	407.57546	9.3119227	9.0182506	0.12668192	0.015606574
63	5.9000256	-1.3069426	2.7549541	6372.5558	46.228639	18.557685	0.074163613	0.14083063
64	0.42923997	-1.3603176	1.0041311	1738.6464	30.872693	12.677733	0.016067376	0.023482174
65	1.0987698	0.69855712	1.4829558	5960.8718	123.23065	42.997038	0.0048811446	0.00093294034
66	1.7055768	-0.24863583	2.4116882	13638.241	201.86145	198.07908	-0.094402638	0.0082582378
67	3.5883308	-0.14007533	1.626893	3747.8734	48.760505	42.647397	-0.061256779	-0.12841493
68	1.8769165	-0.34140807	0.32122354	4544.0048	17.565189	12.303647	0.14044978	-0.01079546
69	0.91336049	1.3279454	0.58664426	5881.8987	44.707388	43.994494	-0.12093385	0.19968095
70	2.3364242	0.53639862	2.6258211	3837.6712	49.76277	47.234155	0.18827131	0.14037383
71	2.8135691	0.5885328	0.63436937	2581.6986	26.71937	21.125866	0.15756567	0.37914638
72	1.7202372	-0.23942647	0.81135795	7540.1711	77.806134	59.637308	0.090425952	0.045652151
73	0.96535827	1.405876	2.6485628	308.93048	26.656692	15.137278	0.0062007409	0.20112495
74	6.0793588	1.063235	1.2580229	3255.2555	49.455389	40.228226	0.29797224	-0.062180467
75	3.3061097	0.24480191	1.1386102	9444.7373	78.499179	71.564801	-0.029024069	-0.067735224
76	4.4980606	0.68470769	0.65905637	3067.7603	48.092397	45.757042	0.087229984	-0.074547012
77	5.9676174	0.60324529	0.50822698	1538.436	31.155782	23.880075	0.043248114	-0.02981629
78	6.0588737	-0.12467254	2.3385649	5342.5298	127.90955	67.397091	-0.08815801	0.01577095
79	3.6301091	-0.48680528	1.5330649	2396.0594	64.819988	49.0222	0.14242141	0.5588955
80	5.1547009	-0.43610809	2.5704184	5794.7239	157.99137	157.10962	-0.55831774	-0.41809753
81	4.5719686	-1.087356	0.48038037	3917.3581	46.751274	42.245393	-0.081129934	0.050161585
82	5.1004822	0.72517555	2.8397394	4675.5885	36.809687	27.673784	0.3256627	-0.079898977
83	3.3950243	-0.33706707	2.3010108	674.99631	11.842282	9.5304744	-0.026036018	-0.013929534
84	2.4084685	0.086911397	0.26154381	420.32652	2.0942825	1.814974	0.13346338	-0.015541873
85	0.4631589	-1.0406053	1.6999231	2159.3613	91.582612	45.480664	0.03101279	-0.080032574
86	2.9340166	-1.1344684	0.77031456	17490.287	152.96704	116.62544	0.21510231	0.061071527
87	5.4000844	-0.3374765	2.2501447	12651.473	122.30528	95.540033	0.041531923	0.16057097
88	1.6032108	0.91642636	1.127786	7587.8777	130.94506	60.567513	0.10531497	0.10640002
89	2.848723	-1.151768	0.49390556	7167.0403	77.229808	56.065481	0.028943661	-0.0024888194
90	0.78005649	1.0052041	0.67907597	2104.8433	9.6706249	3.4518861	0.0063258321	0.0018313189
91	2.4678985	-0.37103077	3.085451	7315.461	49.973611	19.12763	0.026879687	-0.021021608
92	5.575625	0.60180714	2.2818349	2234.338	13.118327	11.704526	-0.0080389695	0.55496069
93	3.6029505	-0.86447741	2.8300176	1878.5245	11.924493	2.0382852	0.0018114091	-0.14227852
94	0.62840238	0.33763663	2.0501857	1515.797	51.453304	27.088568	-0.056244599	-0.010253338
95	4.1571346	0.1322066	0.052233086	10216.516	78.761322	75.109113	0.12562565	0.042710123
96	5.8493326	-0.054763019	2.7044718	952.46347	3.1015537	1.8863025	-0.063243313	0.068280173
97	4.7585167	-0.45077903	0.24605623	6517.8469	64.214802	59.509632	0.068009399	0.1649215
98	1.6187509	-1.2082629	2.241285	446.05745	1.9407097	1.3327576	-0.023539085	0.058567372
99	2.6557243	0.51028258	0.95737932	4090.0144	76.809789	56.492942	0.39624294	0.1840664
100	2.2987218	-0.66782778	2.2454705	565.02824	2.2136966	1.4192981	0.0182483	-0.039876891
101	4.5619459	-0.23671358	1.7697204	3149.746	63.597338	49.93722	-0.043287515	0.13399069
102	4.3547403	0.558311	0.74159455	10485.224	85.597901	56.694814	0.36904473	-0.0039721042
103	0.71179619	-0.57124169	0.43502244	2679.4291	14.687024	12.875031	0.10712848	-0.26991331
104	4.4566163	1.3900604	0.75997895	3105.3571	55.483864	53.901935	0.36130663	-0.022218268
105	3.7011995	0.72411533	2.2923938	4468.5113	46.132035	44.450969	-0.3772017	0.10610673
106	4.9908214	-0.1179979	2.1600435	4389.7569	55.188116	46.218803	0.076904407	0.012772969
107	4.2690116	-0.061137693	2.7058954	338.72786	1.3378199	1.2521139	0.11369593	-0.0057168647
108	0.63448845	-0.048574572	0.95804147	5760.9623	62.099636	57.390162	0.23183622	0.087097786
109	1.5961694	1.3630421	1.1669571	911.04183	14.176876	12.214288	0.018969142	-0.023042419
110	1.6039085	-0.5308456	2.0538854	5066.4096	54.404195	53.210888	0.13666278	0.30330896
111	2.9684366	-1.0474485	2.4596896	5154.8008	104.15218	58.195784	-0.14178562	-1.377386e-05
112	5.2863103	-0.37059653	0.4837616	2455.2819	11.508681	6.941572	0.15995815	-0.16388088
113	0.13958807	-0.9271967	0.95901775	1185.7964	15.168307	10.387812	0.0090182118	0.025076816
114	4.8641515	-1.1185281	0.66906745	799.73807	2.4394293	1.374272	0.056363221	0.085967893
115	0.258521	-0.35746095	2.7982723	2511.7758	13.776553	10.368809	-0.047981368	-0.12460793
116	3.7175809	1.034704	1.8276302	1302.9082	94.653691	63.752044	0.29306733	0.24591324
