run,population,detections,rate_low,rate_mid,rate_high
O4a_GWTC-3,BNS,405,-5,5,+10
O4a_GWTC-3,NSBH,90,-0,0,+0
O4a_GWTC-3,BBH,4222,-36,61,+80
O4a_GWTC-4,BNS,234,-1,1,+4
O4a_GWTC-4,NSBH,282,-1,1,+5
O4a_GWTC-4,BBH,3304,-19,29,+44
O4a_GWTC-3_snr-10_mesurePSD,BNS,239,-2,2,+5
O4a_GWTC-3_snr-10_mesurePSD,NSBH,42,-0,0,+0
O4a_GWTC-3_snr-10_mesurePSD,BBH,2459,-19,30,+40
O4a_GWTC-3_snr-8_mesurePSD,BNS,490,-5,5,+10
O4a_GWTC-3_snr-8_mesurePSD,NSBH,89,-0,0,+0
O4a_GWTC-3_snr-8_mesurePSD,BBH,4701,-34,57,+75
O4a_GWTC-4_snr-8_mesurePSD,BNS,211,-1,1,+4
O4a_GWTC-4_snr-8_mesurePSD,NSBH,238,-1,1,+5
O4a_GWTC-4_snr-8_mesurePSD,BBH,2964,-19,28,+41
Fullpop-O4HL,BNS,226,-1,1,+4
Fullpop-O4HL,NSBH,268,-1,1,+5
Fullpop-O4HL,BBH,3228,-19,29,+44
BGP-O4HL,BNS,62,-0,0,+0
BGP-O4HL,NSBH,107,-1,1,+4
BGP-O4HL,BBH,5844,-59,103,+125
Fullpop-O4HLV,BNS,264,-1,1,+5
Fullpop-O4HLV,NSBH,321,-2,2,+5
Fullpop-O4HLV,BBH,3800,-22,34,+52
BGP-O4HLV,BNS,78,-0,0,+0
BGP-O4HLV,NSBH,143,-1,1,+5
BGP-O4HLV,BBH,6919,-69,122,+147
