simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z
0	4.2620217	0.6847603	1.3204223	327.47345	11.161317	8.3050105	0.076784116	0.11616685
1	4.16646	0.1384404	2.1691204	877.5003	8.782298	8.5507146	0.012607309	0.0038110694
2	5.9846705	0.58286096	2.3553857	2425.6808	37.172454	35.169897	0.025619734	0.02471309
3	4.2550486	-0.092159908	2.6627369	3850.609	55.609535	54.291999	-0.2322013	0.088853865
4	2.0473784	0.34121813	2.3151222	2282.1172	14.025302	13.097131	0.23484092	0.059633868
5	0.43188698	-0.55696732	0.50728767	1889.9501	47.268183	36.568928	0.047992208	0.074456109
6	2.2241974	-0.97164647	2.5341614	2477.2274	23.508209	10.242353	0.12686043	0.0070660846
7	1.4714451	-0.6398126	1.6305539	504.25574	6.952534	2.811987	0.00048583032	0.089292253
8	5.3404543	0.83849426	1.4769748	1108.1677	42.200133	20.089087	-0.16799622	-0.074415117
9	1.0267201	-0.83707702	2.4291088	2062.4346	16.717567	12.158333	-0.0055156872	-0.040176567
10	2.7476572	-1.2241757	2.8669594	1587.3418	13.911212	11.396391	0.21082018	0.023218074
11	5.3848129	-1.4872694	0.39693982	5417.9819	53.762743	49.232116	0.13022138	0.06768313
12	3.547197	-0.63681187	0.44934464	8678.9814	77.746478	77.37399	0.12349197	0.54731119
13	2.9073645	0.58835223	2.7814045	2551.1937	15.203586	13.893261	0.29578683	0.25189876
14	0.090374834	-0.7724487	0.85467141	1780.6873	11.162528	10.650138	0.044355177	0.095105631
15	3.6021614	0.70746652	2.6355427	1813.5646	30.472028	11.591482	0.28316163	0.059142105
16	5.8497674	-0.48796735	0.4592767	2812.0796	39.191438	38.115472	-0.17933853	0.24330815
17	3.1511943	0.1698433	0.48770502	9491.1826	90.041489	83.103288	0.50215851	0.21611614
18	3.7971859	0.87535684	0.38678959	112.89034	1.6177185	1.5164162	0.029633181	0.00076074351
19	0.66888419	0.72449942	0.41072353	1554.4489	11.235404	9.6741557	0.20990811	0.36618221
20	3.9378139	1.1195633	0.44109271	4927.0085	38.118411	34.251488	0.081947193	0.12609491
21	6.1280585	-0.5691877	0.23365737	4850.7752	31.635218	22.679985	0.076152153	0.23030205
22	2.5551373	0.15590735	1.3743943	911.59001	44.187157	43.908147	0.045248729	0.010158245
23	0.54163444	0.25383075	0.64851615	789.03538	4.6342656	2.1703768	0.22553255	0.25299626
24	2.4513505	-0.22354046	0.33238289	1259.2538	13.203442	12.611521	-0.019797837	0.0064698799
25	4.1222321	-0.31219032	0.57521766	2859.5693	49.13017	39.393539	-0.13827924	-0.0021412869
26	4.5625499	-0.0033924737	0.32873468	404.15802	2.0151372	1.8552648	0.0030698903	-0.10651119
27	3.2600868	-0.72179625	2.48729	3755.9919	48.348834	16.072564	0.11380315	0.17589136
28	5.4614414	0.20350803	0.72901468	1617.003	23.158488	10.886392	0.081280068	0.38718094
29	0.17145007	0.40632663	0.63911067	527.15496	23.526558	1.4727386	0.0019956926	0.026842033
30	5.6884721	0.11746066	2.4076972	1086.9514	12.285993	11.582597	-0.04914971	0.15505161
31	3.4950255	0.44433392	0.73429959	2129.9843	48.798192	35.834245	0.14880992	0.013931493
32	2.7463625	0.46729294	1.2496868	1551.8987	36.3415	29.371461	0.061549991	0.075702594
33	3.2130478	-1.008214	2.4053838	1455.9815	11.56604	11.374268	-0.27305753	0.017370093
34	0.96535827	1.405876	2.6485628	295.7156	36.661314	32.490817	0.0010291212	0.0038433502
35	0.93462216	0.018821558	2.6736464	6842.9718	75.000892	69.773107	-0.067114513	0.61181674
36	1.8176241	0.27285539	0.77967578	1618.8273	29.810702	19.402724	0.23597885	0.09581418
37	4.0102835	-0.55011852	2.0273689	2498.8951	49.995792	41.841658	-0.049877251	0.4517433
38	3.2192846	-1.0902198	0.62882863	7233.7091	117.33993	62.548744	0.0043528002	0.39393991
39	3.3950243	-0.33706707	2.3010108	598.82469	10.13495	9.6334914	0.069888208	-0.035922506
40	2.4084685	0.086911397	0.26154381	374.60589	8.8984322	1.7774623	0.060984502	0.035539626
41	3.1877311	0.031799557	1.0878383	459.90807	38.144538	27.913043	-0.033342582	-0.14154642
42	2.434501	-0.44445802	2.6385445	1173.9575	10.378034	8.3240243	-0.226217	0.004585433
43	1.8504877	-0.031823257	0.82568036	1329.823	11.654866	8.6056861	0.052925678	0.0078743221
44	1.6187509	-1.2082629	2.241285	730.90053	12.04992	11.043562	0.031091188	0.11812612
45	2.2987218	-0.66782778	2.2454705	478.54893	9.0059091	1.3066436	0.10627302	0.17642368
46	4.248288	-0.65795903	2.1865376	3542.3651	42.562937	29.027423	0.074398369	0.013124272
47	3.3135728	0.72209747	2.3516611	1572.0392	12.206343	12.162319	0.23579327	0.31553878
48	5.6110314	0.83698049	0.65559677	3906.7746	46.461205	43.696003	0.011312156	0.15550169
49	4.2690116	-0.061137693	2.7058954	626.53592	15.48582	11.158703	0.15633644	0.055395293
50	0.61026412	0.038284144	0.37600433	1876.8788	26.443577	11.636801	0.031585908	0.17524344
51	4.8787066	0.83897896	0.35204249	5956.1674	55.026113	54.477923	-0.24230798	0.024751432
52	1.786631	0.68409147	0.40715415	1266.2067	63.004985	43.413216	-0.012730929	0.045297484
53	5.9777901	-0.2560118	1.1014351	3726.8085	40.897482	39.956477	-0.075759769	-0.055819324
54	3.8360637	0.46732018	2.6287626	1388.4001	13.98588	11.073098	0.325941	0.062104035
55	4.8641515	-1.1185281	0.66906745	1270.7377	10.866999	10.181896	0.12195125	0.24642516
56	3.8774262	0.005712595	0.6649997	1619.4086	13.502225	11.102675	0.053555253	0.039077685
57	1.2532781	0.73631551	3.1132004	3439.1488	91.734798	45.923605	0.55809843	0.24252015
58	6.224693	0.019906831	2.8424427	4713.8792	65.184598	41.413319	-0.0016565503	0.054130693
59	6.0119545	-1.1535771	0.14941762	1143.6487	24.376486	13.612035	0.21653173	0.0076820109
60	1.7542944	-0.024825885	0.4115078	1312.6433	11.169588	11.102541	0.17047209	0.071756978
61	4.6016685	-0.43314576	2.5337191	936.33764	40.032436	25.218583	0.08598418	0.053643308
62	5.3373964	0.1944663	2.1127356	59.332538	1.6047497	1.4842403	0.31725414	0.076898199
63	5.6967739	0.28608051	0.4561375	1425.803	37.024677	34.200354	0.0060133831	0.042780354
64	5.7311327	0.79517612	0.80954091	265.58892	1.9541581	1.8754282	-0.023809426	0.16707548
65	5.2205222	0.44098292	2.2747796	2403.6555	44.746496	12.61245	0.34471113	0.29643163
66	0.20515139	1.1293232	0.9209096	1906.3272	19.907141	10.993787	-0.020555895	0.020077801
67	5.7735064	0.17923819	0.4441044	1349.8663	30.183447	20.749348	0.107332	0.019539234
68	4.7244838	0.055420077	2.6755138	422.69417	8.7758839	1.8440918	0.33415991	0.0037270813
69	6.0309014	0.67891139	2.2217315	4477.2909	46.49207	40.441526	0.060653582	-0.10488624
70	1.3956603	-1.2660667	2.9460804	814.46792	10.610429	10.004219	0.038514927	0.41505084
71	0.76268374	-0.33575691	2.9391875	1299.7849	54.449904	13.229988	0.13259065	-0.026978186
72	4.6484458	0.3994863	0.98852277	166.52604	1.3906872	1.3791132	0.014364192	0.12775285
73	1.4484263	-0.63576369	0.93861788	716.04969	30.949905	28.763559	-0.063942551	0.13326977
74	6.1694653	0.030839916	2.5417799	2767.316	57.278738	43.017367	0.35776619	0.11866106
75	4.5066651	0.64139551	2.3743805	1112.706	12.89715	11.676666	-0.057487829	-0.015256226
76	5.6862092	0.62721463	2.3336412	2894.4303	34.692341	30.27115	0.49383617	0.04083437
77	3.4406046	-0.046089288	2.0887053	1947.4212	38.989246	34.711194	-0.055460366	0.23443806
78	0.017326244	-0.6474471	0.93348888	3340.871	36.194905	26.147509	0.19635921	0.039610193
79	2.6658826	0.79710852	0.68555181	2677.7433	67.119509	42.468341	0.1167777	0.068197587
80	0.038218481	0.46366202	2.6574655	2924.6306	32.669725	31.293666	0.63517067	-0.0013166818
