run,population,detections,rate_low,rate_mid,rate_high
O4a_GWTC-3,BNS,405,-6,7,+12
O4a_GWTC-3,NSBH,90,-1,1,+3
O4a_GWTC-3,BBH,4222,-47,80,+103
O4a_GWTC-4,BNS,234,-2,2,+5
O4a_GWTC-4,NSBH,282,-2,2,+6
O4a_GWTC-4,BBH,3304,-25,38,+56
O4a_GWTC-3_snr-10_mesurePSD,BNS,239,-3,3,+7
O4a_GWTC-3_snr-10_mesurePSD,NSBH,42,-0,0,+0
O4a_GWTC-3_snr-10_mesurePSD,BBH,2459,-24,39,+51
O4a_GWTC-3_snr-8_mesurePSD,BNS,490,-6,7,+12
O4a_GWTC-3_snr-8_mesurePSD,NSBH,89,-0,0,+0
O4a_GWTC-3_snr-8_mesurePSD,BBH,4701,-44,75,+96
O4a_GWTC-4_snr-8_mesurePSD,BNS,211,-1,1,+6
O4a_GWTC-4_snr-8_mesurePSD,NSBH,238,-2,2,+5
O4a_GWTC-4_snr-8_mesurePSD,BBH,2964,-23,36,+53
Fullpop-O4HL,BNS,226,-7,9,+15
Fullpop-O4HL,NSBH,268,-9,11,+17
Fullpop-O4HL,BBH,3228,-80,133,+191
BGP-O4HL,BNS,62,-4,4,+8
BGP-O4HL,NSBH,107,-7,8,+12
BGP-O4HL,BBH,5844,-260,460,+560
Fullpop-O4HLV,BNS,264,-8,10,+18
Fullpop-O4HLV,NSBH,321,-10,13,+21
Fullpop-O4HLV,BBH,3800,-94,157,+224
BGP-O4HLV,BNS,78,-6,6,+9
BGP-O4HLV,NSBH,143,-8,11,+16
BGP-O4HLV,BBH,6919,-300,550,+660
Fullpop-O4HL_SNR_10,BNS,106,-4,4,+8
Fullpop-O4HL_SNR_10,NSBH,136,-5,5,+10
Fullpop-O4HL_SNR_10,BBH,1739,-45,72,+103
Fullpop-O4HLV_SNR_10,BNS,114,-4,4,+9
Fullpop-O4HLV_SNR_10,NSBH,150,-6,6,+10
Fullpop-O4HLV_SNR_10,BBH,1932,-49,80,+115
