run,population,detections,rate_low,rate_mid,rate_high
O4a-fullpop,BNS,115,-1,1,+3
O4a-fullpop,NSBH,133,-1,1,+4
O4a-fullpop,BBH,4817,-39,73,+78
O4a-pixelpop,BNS,33,-0,0,+0
O4a-pixelpop,NSBH,129,-1,1,+3
O4a-pixelpop,BBH,5504,-40,78,+71
O4b-fullpop,BNS,145,-2,2,+4
O4b-fullpop,NSBH,161,-2,2,+5
O4b-fullpop,BBH,5728,-57,108,+113
O4b-pixelpop,BNS,56,-0,0,+0
O4b-pixelpop,NSBH,154,-2,2,+4
O4b-pixelpop,BBH,6510,-56,114,+103
IR1HL-fullpop,BNS,122,-0,0,+0
IR1HL-fullpop,NSBH,140,-0,0,+0
IR1HL-fullpop,BBH,4785,-30,55,+58
IR1HL-pixelpop,BNS,51,-0,0,+0
IR1HL-pixelpop,NSBH,138,-0,0,+0
IR1HL-pixelpop,BBH,5285,-29,56,+53
IR1HLV-fullpop,BNS,146,-1,1,+3
IR1HLV-fullpop,NSBH,166,-1,1,+3
IR1HLV-fullpop,BBH,5622,-35,64,+69
IR1HLV-pixelpop,BNS,65,-0,0,+0
IR1HLV-pixelpop,NSBH,188,-1,1,+3
IR1HLV-pixelpop,BBH,6280,-34,67,+62
O4a-gwtc3,BNS,405,-6,7,+12
O4a-gwtc3,NSBH,90,-1,1,+3
O4a-gwtc3,BBH,4222,-47,80,+103
O4b-gwtc3,BNS,448,-8,10,+16
O4b-gwtc3,NSBH,142,-2,2,+6
O4b-gwtc3,BBH,4820,-68,118,+150
